#,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio
1,01001,MA,Longmeadow,42.06264701758595,-72.62518514563448,NE,False,133.1680511700308,T3,True,False,False,False,21.433737844571247,46.2,315.605,M,False,False,False,False,False,92.29768786127168,88.17919075144509,85.28179190751445,False,False,False,False,False,False,False,16234.0,VS,101.56444002979885
2,01002,MA,Amherst Town,42.37631996164381,-72.46463267907755,NE,False,115.49943551296904,T3,True,False,False,False,23.25665509259259,27.0,315.605,M,False,False,False,False,False,93.61434108527132,93.39147286821704,87.6327519379845,False,False,False,False,True,False,False,162028.0,VS,99.214323487195
3,01005,MA,Barre,42.42116105867914,-72.1065468198655,NE,False,86.30466174031169,T2,True,False,False,False,18.30448065173116,43.4,315.605,H,False,False,False,False,False,93.23671497584542,78.74396135265701,86.85507246376812,False,False,False,False,False,False,False,867788.0,M,95.6390977443609
4,01007,MA,Palmer Town,42.28163036173047,-72.40008786569935,NE,False,110.61057258063973,T2,True,False,False,False,22.36661480735792,43.8,315.605,H,False,False,False,False,False,95.06514657980456,91.1400651465798,91.92508143322476,False,False,False,False,False,False,False,462815.0,S,89.49244193191595
5,01008,MA,Blandford,42.1823373240367,-72.958193992537,NE,False,157.51711285876954,T2,True,False,False,False,19.40018744142456,50.7,315.605,M,False,False,False,False,False,90.84628670120898,87.56476683937824,84.48618307426597,False,False,False,False,False,False,False,462815.0,S,114.72491909385114
6,01009,MA,Palmer Town,42.211338733950384,-72.34186519871723,NE,False,106.82647217618276,T2,True,False,False,False,27.08333333333333,31.3,315.605,M,False,False,False,False,False,96.7032967032967,86.81318681318682,86.56593406593407,False,False,False,False,False,False,False,462815.0,S,77.48344370860927
7,01010,MA,Palmer Town,42.12904099829892,-72.20596678589152,NE,False,97.85370289236756,T2,True,False,False,False,28.69596803487105,43.7,315.605,H,False,False,False,False,False,95.2482269503546,92.19858156028369,92.36879432624112,False,False,False,False,False,False,False,462815.0,S,108.61486486486488
8,01011,MA,Huntington,42.30234754455992,-72.96448713629398,NE,False,156.7721788976217,T2,True,False,False,False,11.670480549199084,46.0,315.605,M,False,False,False,False,False,87.20173535791757,79.39262472885032,80.16811279826464,False,False,False,False,False,False,False,462815.0,S,96.16026711185307
9,01013,MA,Springfield,42.160592073780776,-72.60787921064228,NE,False,129.387265944511,T2,True,False,False,False,12.923876529124676,38.9,315.605,M,False,False,False,False,True,86.7577563180604,85.93589480172591,82.28066570782823,False,False,False,False,False,False,False,462815.0,S,87.91058025986604
10,01020,MA,Springfield,42.17617304250325,-72.56537866916901,NE,False,125.63436551457472,T2,True,False,False,False,14.601809152181623,45.1,315.605,M,False,False,False,False,True,90.15762330209922,83.44592140626135,82.76912181303116,False,False,False,False,False,False,False,462815.0,S,93.11823826899686
