#,postal_code,pincode,base_name,feature_source,source_zcta,identity_source,enrichment_queue,enrichment_priority,enrichment_action,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio,missing_columns
16,00801,00801,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,VI,St Thomas,,,S,False,,T3,False,False,False,False,16.125730226321863,42.0,315.605,VH,False,False,False,False,False,89.65517241379311,89.29392324068229,82.11494209975605,False,False,False,False,False,False,False,68973.0,VS,99.51161548519345,latitude;longitude;distance_to_state_capital
17,00803,00803,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,VI,St Thomas,,,S,False,,T3,False,False,False,False,16.125730226321863,42.0,315.605,VH,False,False,False,False,False,89.65517241379311,89.29392324068229,82.11494209975605,False,False,False,False,False,False,False,68973.0,VS,99.51161548519345,latitude;longitude;distance_to_state_capital
18,00804,00804,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,VI,St Thomas,,,S,False,,T3,False,False,False,False,16.125730226321863,42.0,315.605,VH,False,False,False,False,False,89.65517241379311,89.29392324068229,82.11494209975605,False,False,False,False,False,False,False,68973.0,VS,99.51161548519345,latitude;longitude;distance_to_state_capital
19,00805,00805,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,VI,St Thomas,,,S,False,,T3,False,False,False,False,16.125730226321863,42.0,315.605,VH,False,False,False,False,False,89.65517241379311,89.29392324068229,82.11494209975605,False,False,False,False,False,False,False,68973.0,VS,99.51161548519345,latitude;longitude;distance_to_state_capital
20,00821,00821,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,VI,Christiansted,,,S,False,,T3,False,False,False,False,16.125730226321863,42.0,315.605,VH,False,False,False,False,False,89.65517241379311,89.29392324068229,82.11494209975605,False,False,False,False,False,False,False,68973.0,VS,99.51161548519345,latitude;longitude;distance_to_state_capital
21,00822,00822,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,VI,Christiansted,,,S,False,,T3,False,False,False,False,16.125730226321863,42.0,315.605,VH,False,False,False,False,False,89.65517241379311,89.29392324068229,82.11494209975605,False,False,False,False,False,False,False,68973.0,VS,99.51161548519345,latitude;longitude;distance_to_state_capital
22,00823,00823,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,VI,Christiansted,,,S,False,,T3,False,False,False,False,16.125730226321863,42.0,315.605,VH,False,False,False,False,False,89.65517241379311,89.29392324068229,82.11494209975605,False,False,False,False,False,False,False,68973.0,VS,99.51161548519345,latitude;longitude;distance_to_state_capital
23,00824,00824,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,VI,Christiansted,,,S,False,,T3,False,False,False,False,16.125730226321863,42.0,315.605,VH,False,False,False,False,False,89.65517241379311,89.29392324068229,82.11494209975605,False,False,False,False,False,False,False,68973.0,VS,99.51161548519345,latitude;longitude;distance_to_state_capital
24,00831,00831,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,VI,St John,,,S,False,,T3,False,False,False,False,16.125730226321863,42.0,315.605,VH,False,False,False,False,False,89.65517241379311,89.29392324068229,82.11494209975605,False,False,False,False,False,False,False,68973.0,VS,99.51161548519345,latitude;longitude;distance_to_state_capital
25,00841,00841,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,VI,Frederiksted,,,S,False,,T3,False,False,False,False,16.125730226321863,42.0,315.605,VH,False,False,False,False,False,89.65517241379311,89.29392324068229,82.11494209975605,False,False,False,False,False,False,False,68973.0,VS,99.51161548519345,latitude;longitude;distance_to_state_capital
26,00902,00902,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,PR,San Juan,,,S,False,,T3,False,False,False,False,19.205240758875256,45.2,315.605,L,False,False,False,False,False,82.08625734371145,82.93519605790769,64.86182155775226,False,False,False,False,False,False,False,37427.5,VS,91.46733470872849,latitude;longitude;distance_to_state_capital
27,00908,00908,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,PR,San Juan,,,S,False,,T3,False,False,False,False,19.205240758875256,45.2,315.605,L,False,False,False,False,False,82.08625734371145,82.93519605790769,64.86182155775226,False,False,False,False,False,False,False,37427.5,VS,91.46733470872849,latitude;longitude;distance_to_state_capital
28,00910,00910,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,PR,San Juan,,,S,False,,T3,False,False,False,False,19.205240758875256,45.2,315.605,L,False,False,False,False,False,82.08625734371145,82.93519605790769,64.86182155775226,False,False,False,False,False,False,False,37427.5,VS,91.46733470872849,latitude;longitude;distance_to_state_capital
29,00914,00914,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,PR,San Juan,,,S,False,,T3,False,False,False,False,19.205240758875256,45.2,315.605,L,False,False,False,False,False,82.08625734371145,82.93519605790769,64.86182155775226,False,False,False,False,False,False,False,37427.5,VS,91.46733470872849,latitude;longitude;distance_to_state_capital
30,00916,00916,PUERTO RICO,base_enriched,,hrsa,queue_base_expansion,2,tabular_plus_nearest_defaults,PR,San Juan,,,S,False,,T3,False,False,False,False,19.205240758875256,45.2,315.605,L,False,False,False,False,False,82.08625734371145,82.93519605790769,64.86182155775226,False,False,False,False,False,False,False,37427.5,VS,91.46733470872849,latitude;longitude;distance_to_state_capital
