country_code,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio
USA,23873,VA,Meredithville,36.8088,-77.9544,S,f,147.635198,T3,f,f,f,f,5.840821566110398,38.6,315.605,L,f,f,f,f,f,77.79291553133515,72.0708446866485,59.34196185286103,f,f,f,f,f,f,f,15841,VS,824.2870285188593
USA,23939,VA,Evergreen,37.3185,-78.7658,S,f,229.438369,T3,f,f,f,f,15.367871136264691,40.0,315.605,M,f,f,f,f,f,85.0977405432851,87.9157146483879,82.3095963442498,f,f,f,f,f,f,f,11422,VS,1112.1613106490233
USA,23941,VA,Fort Mitchell,36.9182,-78.4861,S,f,178.516257,T3,f,f,f,f,5.985634477254589,45.0,315.605,L,f,f,f,f,f,72.01086956521739,80.43478260869566,59.95652173913044,f,f,f,f,f,f,f,30516,VS,1111.3561190738699
USA,24001,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24002,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24003,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24004,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24005,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24006,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24007,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24008,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24009,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24010,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24024,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24025,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24026,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24027,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24028,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24029,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24030,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24031,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24032,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24033,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24034,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24035,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24036,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
