#,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio
25858,85016,AZ,Paradise Valley,33.50953007247679,-112.03040638690314,,False,7.908924284556983,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25859,86403,AZ,Lake Havasu City,34.47703059442711,-114.34423675878348,,False,238.5685558827644,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25860,34761,FL,Pine Hills,28.579764863237425,-81.53386637767245,,False,336.67352275819536,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25861,78159,TX,Smiley,29.230309656952198,-97.58246835760184,,False,116.33509332365787,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25862,78160,TX,Stockdale,29.241826519259995,-97.92849932410317,,False,115.41242282940958,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25863,52320,IA,Olin,41.99997335286678,-91.14644497547413,,False,210.54158150486887,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25864,45320,OH,Camden,39.74673230735138,-84.68931986117626,,False,146.10126124388222,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25865,44146,OH,Macedonia,41.381610732813314,-81.53018208013731,,False,200.80740420047846,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25866,79056,TX,Lipscomb,36.217239452360914,-100.2213956907093,,False,700.5299225098958,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25867,79058,,,35.59512936750469,-101.949250723758,,False,,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25868,32205,FL,Jacksonville,30.302750694138947,-81.72256727506638,,False,245.87430500849197,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25869,32163,FL,Leesburg,28.81879356128561,-81.98663103118045,,False,285.6357270182262,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25870,34747,FL,Celebration,28.311137269295457,-81.5910697136259,,False,351.92562252886324,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25871,95602,CA,Auburn,38.99038883345273,-121.1099074145349,,False,56.36302636078908,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25872,78164,TX,Yorktown,28.979201615480715,-97.51879403002715,,False,144.85063110488574,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25873,45056,OH,Darrtown,39.49029420031999,-84.74115107608712,,False,157.78406606377584,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25874,44010,OH,Austinburg,41.76086527192143,-80.85152261853797,,False,269.6321572604808,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25875,44417,,,41.4333298710013,-80.6632939075391,,False,,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25876,44046,,,41.54157921036009,-81.07229141285006,,False,,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25877,79061,TX,Mobeetie,35.51988193524204,-100.45706838533191,,False,636.5889103009878,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25878,79064,TX,Olton,34.17738138368066,-102.12699536035518,,False,599.117387978138,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25879,34956,FL,Indiantown,27.079688803791147,-80.50078653561205,,False,524.5495160839789,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25880,33136,FL,Miami,25.787026680554643,-80.2044417151195,,False,653.5624001684988,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25881,32819,FL,Williamsburg,28.45565399429306,-81.47200280211278,,False,350.0712818569289,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25882,32181,FL,Welaka,29.506578561568215,-81.60126401815079,,False,278.1017213957539,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25883,95606,CA,Brooks,38.75605102321997,-122.19387012817336,,False,63.749152636154015,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25884,40347,KY,Midway,38.157953939890234,-84.71914320082209,,False,14.295709987094662,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25885,51004,IA,Anthon,42.37620446480391,-95.91599571368225,,False,208.71386328754454,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25886,52804,IA,Buffalo,41.53583721594702,-90.680819903568,,False,245.01289614486205,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25887,52411,IA,Cedar Rapids,42.050933670491155,-91.7272349966301,,False,165.5127168810088,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25888,79068,TX,Panhandle,35.336355432137815,-101.45226577058564,,False,661.5993980485475,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25889,79072,TX,Plainview,34.17190061623071,-101.74499968265712,,False,574.5483708625017,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25890,79082,TX,Springlake,34.21880592788811,-102.2861956937128,,False,612.734410406141,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25891,79093,TX,Waka,36.26636650692331,-101.02997296847828,,False,733.6031628626416,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25892,32311,FL,Capitola,30.396461106002217,-84.16844085441218,,False,11.726844748441273,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25893,34465,FL,Lecanto,28.928694190191234,-82.49089266182159,,False,240.97299655533197,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25894,54639,WI,La Farge,43.605663528127245,-90.6202131318065,,False,115.00106352026603,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25895,54129,WI,Stockbridge,44.12901495547481,-88.20146103332567,,False,152.04378809595772,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25896,50021,IA,Saylorville,41.720678116097,-93.5683748248115,,False,15.612255441067525,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25897,50036,IA,Boone,42.08920123053809,-93.85378181115435,,False,58.99198523326425,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25898,50475,IA,Chapin,42.879020241015176,-93.21851678627259,,False,147.53355411981477,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25899,79094,,,34.8454594471516,-101.5249379575213,,False,,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25900,79103,TX,Amarillo,35.18296863274369,-101.79990078892742,,False,665.2683539782023,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25901,91406,CA,Los Angeles,34.19788821617536,-118.48990319092059,,False,556.6266701329308,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25902,33538,FL,Bushnell,28.84679230432298,-82.1821863673955,,False,269.1493925401925,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25903,46815,IN,New Haven,41.103397231368895,-85.05912704422312,,False,175.1727505889173,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25904,46032,IN,Indianapolis city (balance),39.9653526600135,-86.17103647324892,,False,21.927949417260233,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25905,53548,WI,Hanover,42.68906163160226,-89.13094821826726,,False,48.04617949643821,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25906,53210,WI,Milwaukee,43.06888356962602,-87.97387078522735,,False,115.93978401088674,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25907,53154,WI,Caledonia,42.880316969946456,-87.90091490455217,,False,123.92002376303283,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25908,50560,IA,Lu Verne,42.95580603983983,-94.10429077020513,,False,157.25101496655873,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25909,50005,IA,Albion,42.1295028512874,-93.02682929742329,,False,78.07483011381683,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25910,51364,IA,Terril,43.299297776452,-94.96292822222604,,False,219.79439560164977,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
