#,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio,missing_columns
5351,602,,Luyando,18.360458577183472,-67.175140442818,UNKNOWN,False,,T3,True,False,False,False,18.34759825327511,46.6,315.605,L,False,False,False,False,False,77.06499922803766,52.70186814883434,62.27165354330708,False,False,False,False,False,False,False,25094.0,VS,96.54244087837836,state_original;region;distance_to_state_capital
5352,84002,,,40.42467499546706,-110.2778408350558,UNKNOWN,False,,T3,False,False,False,False,6.0606060606060606,36.5,315.605,M,False,False,False,False,False,99.32432432432432,90.54054054054052,78.91891891891892,False,False,False,False,False,False,False,20185.0,VS,112.02185792349728,state_original;major_city;region;distance_to_state_capital
5353,75977,,,31.05997431554905,-93.7845521621108,UNKNOWN,False,,T3,False,False,False,False,3.6674816625916873,42.6,315.605,L,False,False,False,False,False,100.0,90.7079646017699,74.74778761061947,False,False,False,False,False,False,False,32727.0,VS,159.24170616113744,state_original;major_city;region;distance_to_state_capital
5354,92280,,,34.13963595254246,-114.8465050049647,UNKNOWN,False,,T1,True,False,False,False,,-666666666.0,315.605,,False,False,False,False,False,,,10.0,False,False,False,False,False,False,False,2478600.0,L,,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket;internet_penetration_state;smartphone_penetration_state;sex_ratio
5355,71367,,,30.88784211572825,-92.29426061119008,UNKNOWN,False,,T3,True,False,False,False,8.167467398764584,52.6,315.605,M,False,False,False,False,False,80.5352798053528,97.20194647201946,83.73479318734793,False,False,False,False,False,False,False,81670.0,VS,97.33333333333334,state_original;major_city;region;distance_to_state_capital
5356,73453,,,34.03473011673741,-97.27045145449668,UNKNOWN,False,,T3,True,False,False,False,22.34762979683973,40.3,315.605,M,False,False,False,False,False,91.91176470588236,90.07352941176472,85.79044117647058,False,False,False,False,False,False,False,10261.0,VS,126.71232876712328,state_original;major_city;region;distance_to_state_capital
5357,88264,,,32.86351619479646,-103.7008953269384,UNKNOWN,False,,T3,True,False,False,False,,-666666666.0,315.605,,False,False,False,False,False,100.0,100.0,85.0,False,False,False,False,False,False,False,61105.0,VS,,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket;sex_ratio
5358,98950,WA,Vantage,46.84641127058505,-119.98769553388848,W,False,222.15561435987516,T2,True,False,False,False,,37.0,315.605,,False,False,False,False,False,,,10.0,False,False,False,False,False,False,False,257152.0,S,103.33333333333334,literacy_rate;income_bucket;internet_penetration_state;smartphone_penetration_state
5359,951,,Toa Baja,18.431797896852927,-66.25629599003915,UNKNOWN,True,,T3,True,False,False,False,13.86861313868613,41.9,315.605,L,False,False,False,False,False,83.93782383419689,95.33678756476684,79.94300518134715,False,False,False,False,False,False,True,35810.0,VS,117.31843575418996,state_original;region;distance_to_state_capital
5360,952,,Bayamón,18.42873633835272,-66.18898214172366,UNKNOWN,True,,T3,True,False,False,False,16.317243620997886,50.9,315.605,L,False,False,False,False,False,88.14749780509219,84.34299092771437,77.7790459467369,False,False,False,False,False,False,True,182469.0,VS,96.32123106515988,state_original;region;distance_to_state_capital
5361,89826,,,41.9326190403034,-115.41387213136572,UNKNOWN,False,,T3,True,False,False,False,,-666666666.0,315.605,,False,False,False,False,False,,,10.0,False,False,False,False,False,False,False,54047.0,VS,,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket;internet_penetration_state;smartphone_penetration_state;sex_ratio
5362,75667,,,31.987999273837364,-94.83729024885984,UNKNOWN,False,,T3,True,False,False,False,5.532786885245901,44.7,315.605,M,False,False,False,False,False,88.95463510848126,69.8224852071006,77.51972386587771,False,False,False,False,False,False,False,52842.0,VS,107.48898678414096,state_original;major_city;region;distance_to_state_capital
5363,72617,AR,Big Flat,36.02080290519923,-92.36566336875784,S,False,141.86368947100613,T3,True,False,False,False,42.64705882352941,30.8,315.605,,False,False,False,False,False,66.0,86.0,66.5,False,False,False,False,False,False,False,7859.0,VS,46.05263157894737,income_bucket
5364,926,,Trujillo Alto,18.34690372169589,-66.05432380832295,UNKNOWN,False,,T3,True,False,False,False,30.313875869904845,45.9,315.605,L,False,False,False,False,False,79.76087509539558,79.7685067412872,72.82332739760875,False,False,False,False,False,False,False,125586.0,VS,85.75684380032206,state_original;region;distance_to_state_capital
5365,89828,NV,Lamoille,40.77384188882476,-115.36402698334408,W,False,415.7013336659632,T3,True,False,False,False,69.79166666666666,18.6,315.605,,False,False,False,False,False,82.71604938271605,82.71604938271605,72.03703703703704,False,False,False,False,False,False,False,54047.0,VS,65.2439024390244,income_bucket
5366,97371,OR,Rickreall,44.98985239654448,-123.19940206140062,W,False,13.940644846966864,T3,True,False,False,False,21.96969696969697,46.6,315.605,,False,False,False,False,False,67.06231454005935,100.0,71.82492581602374,False,False,False,False,False,False,False,89662.0,VS,64.45497630331754,income_bucket
5367,81045,CO,Haswell,38.55955932898986,-103.16092929302997,W,False,205.15175465958893,T3,False,False,False,False,8.16326530612245,52.3,315.605,,False,False,False,False,False,75.86206896551724,86.20689655172413,60.517241379310335,False,False,False,False,False,False,False,1376.0,VS,96.66666666666669,income_bucket
5368,92066,,,33.21541116325274,-116.53582776722747,UNKNOWN,False,,T1,True,False,False,False,12.5,63.0,315.605,L,False,False,False,False,False,82.23684210526315,79.60526315789474,73.75657894736841,False,False,False,False,False,False,False,3288774.0,L,67.63005780346822,state_original;major_city;region;distance_to_state_capital
5369,99322,WA,Bickleton,45.93175985323436,-120.14082545371647,W,False,244.47316800403357,T3,True,False,False,False,12.422360248447204,49.6,315.605,,False,False,False,False,False,52.01793721973094,52.01793721973094,49.01345291479821,False,False,False,False,False,False,False,12300.0,VS,169.281045751634,income_bucket
5370,953,,H. Rivera Colón,18.36319498874191,-66.24763563422765,UNKNOWN,False,,T3,True,False,False,False,23.535911602209943,41.7,315.605,L,False,False,False,False,False,81.04144969797959,89.23557592168298,76.64903145178087,False,False,False,False,False,False,False,29310.0,VS,90.9980656523371,state_original;region;distance_to_state_capital
5371,88252,NM,Jal,32.163452053628546,-103.39451801152258,W,False,456.6491223283395,T3,True,False,False,False,5.249169435215947,39.6,315.605,,False,False,False,False,False,78.57974388824213,83.58556461001164,70.68684516880093,False,False,False,False,False,False,False,33.0,VS,101.19148936170212,income_bucket
5372,99345,,,45.936260491793234,-119.65909283147808,UNKNOWN,False,,T3,True,False,False,False,2.857142857142857,43.0,315.605,H,False,False,False,False,False,72.22222222222221,75.0,77.13888888888889,False,False,False,False,False,False,False,12300.0,VS,82.02247191011236,state_original;major_city;region;distance_to_state_capital
5373,87517,,,36.39035139673796,-105.7926902752578,UNKNOWN,False,,T3,True,False,False,False,36.577181208053695,45.0,315.605,,False,False,False,False,False,100.0,78.74396135265701,77.56038647342996,False,False,False,False,False,False,False,34543.0,VS,125.5813953488372,state_original;major_city;region;distance_to_state_capital;income_bucket
5374,87518,,,36.51196188881384,-106.5423540782167,UNKNOWN,False,,T3,True,False,False,False,,-666666666.0,315.605,,False,False,False,False,False,,,10.0,False,False,False,False,False,False,False,40070.0,VS,,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket;internet_penetration_state;smartphone_penetration_state;sex_ratio
5375,98836,WA,Cashmere,47.47617684157692,-120.42908637795465,W,False,192.78230265519127,T3,True,False,False,False,9.124087591240876,42.8,315.605,,False,False,False,False,False,100.0,100.0,85.0,False,False,False,False,False,False,False,80172.0,VS,88.1578947368421,income_bucket
5376,70455,,,30.52437035376864,-90.31881323727384,UNKNOWN,True,,T3,True,False,False,False,16.84152401987852,53.4,315.605,M,False,False,False,False,False,88.2414151925078,90.01040582726326,84.30020811654526,False,False,False,False,False,False,True,136738.0,VS,100.09174311926606,state_original;major_city;region;distance_to_state_capital
5377,99036,,,47.52004330072143,-117.2719689171866,UNKNOWN,False,,T2,True,False,False,False,16.733708769107,53.8,315.605,H,False,False,False,False,False,95.4337899543379,92.99847792998476,92.72298325722984,False,False,False,False,False,False,False,549056.0,M,131.4787701317716,state_original;major_city;region;distance_to_state_capital
5378,83866,,,47.14285905728303,-116.4399571636476,UNKNOWN,False,,T3,True,False,False,False,,51.6,315.605,L,False,False,False,False,False,91.41104294478528,85.2760736196319,79.41104294478528,False,False,False,False,False,False,False,41049.0,VS,203.44827586206893,state_original;major_city;region;distance_to_state_capital;literacy_rate
5379,99126,WA,Marcus,48.73573743309406,-117.97447397588384,W,False,412.8975533791105,T3,True,False,False,False,8.776978417266188,58.2,315.605,,False,False,False,False,False,96.19289340101524,70.05076142131979,72.99492385786802,False,False,False,False,False,False,False,48067.0,VS,115.07177033492825,income_bucket
5380,915,,San Juan,18.43672625250428,-66.04576018659402,UNKNOWN,True,,T3,True,False,False,False,11.599688300122454,44.6,315.605,L,False,False,False,False,False,59.29887640449438,62.71460674157303,58.66966292134831,False,False,False,False,False,False,True,152204.0,VS,81.48093517221035,state_original;region;distance_to_state_capital
5381,99147,,,47.83603651264596,-118.43675305761026,UNKNOWN,False,,T3,False,False,False,False,11.650485436893204,66.2,315.605,M,False,False,False,False,False,100.0,97.67441860465117,81.6860465116279,False,False,False,False,False,False,False,11489.0,VS,140.4494382022472,state_original;major_city;region;distance_to_state_capital
5382,72539,,,36.33014337070662,-91.72258173942386,UNKNOWN,False,,T3,False,False,False,False,,62.9,315.605,M,False,False,False,False,False,100.0,80.82191780821918,75.7876712328767,False,False,False,False,False,False,False,12302.0,VS,92.1875,state_original;major_city;region;distance_to_state_capital;literacy_rate
5383,98852,,,48.32168750917907,-120.63880692596372,UNKNOWN,False,,T3,True,False,False,False,25.71428571428571,65.6,315.605,L,False,False,False,False,False,100.0,78.26086956521739,80.3913043478261,False,False,False,False,False,False,False,80172.0,VS,41.935483870967744,state_original;major_city;region;distance_to_state_capital
5384,75642,,,32.35818150643728,-94.17820827843576,UNKNOWN,False,,T3,True,False,False,False,,68.0,315.605,,False,False,False,False,False,100.0,100.0,85.0,False,False,False,False,False,False,False,22726.0,VS,109.75609756097562,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket
5385,924,,Trujillo Alto,18.39987049958183,-66.01343360017023,UNKNOWN,False,,T3,True,False,False,False,21.78065741335493,41.8,315.605,L,False,False,False,False,False,79.26418273731511,79.88672533233478,72.66602696124322,False,False,False,False,False,False,False,67088.0,VS,81.18535186731027,state_original;region;distance_to_state_capital
5386,70463,LA,Sun,30.65507936244076,-89.90163540482224,S,True,125.1547055556386,T2,True,False,False,False,,68.7,315.605,L,False,False,False,False,False,67.44186046511628,67.44186046511628,63.581395348837205,False,False,False,False,False,False,True,272421.0,S,106.25,literacy_rate
5387,70464,,,30.54445769738717,-89.89215243743293,UNKNOWN,True,,T2,True,False,False,False,,68.3,315.605,,False,False,False,False,False,52.38095238095239,100.0,65.95238095238096,False,False,False,False,False,False,True,272421.0,S,73.01587301587301,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket
5388,73951,OK,Baker,36.95004476604687,-101.05463351993905,S,False,357.6600348334288,T3,True,False,False,False,6.582278481012659,41.4,315.605,,False,False,False,False,False,93.04347826086956,95.21739130434784,80.54347826086956,False,False,False,False,False,False,False,20774.0,VS,147.03770197486534,income_bucket
5389,99154,,,47.39131999514136,-118.35576182379528,UNKNOWN,False,,T3,False,False,False,False,62.5,32.5,315.605,,False,False,False,False,False,100.0,40.0,54.0,False,False,False,False,False,False,False,11489.0,VS,75.0,state_original;major_city;region;distance_to_state_capital;income_bucket
5390,99160,WA,Orient,48.86895398865629,-118.30121940058626,W,False,398.36992313905154,T3,True,False,False,False,11.11111111111111,59.3,315.605,,False,False,False,False,False,57.89473684210527,38.59649122807017,46.66666666666667,False,False,False,False,False,False,False,48067.0,VS,234.6153846153846,income_bucket
